word	frequency
bathroom	335
blanket	335
begun	335
hardcover	335
prince	335
relief	334
inner	334
desire	333
speech	333
spoken	333
neat	333
itiji	333
raise	332
publisher	331
ugly	331
solution	331
fence	331
poem	331
bang	331
marriage	331
sample	331
elevator	331
kristine	330
manuscript	330
afford	330
snake	330
poured	330
trace	330
rope	330
indian	330
surprising	329
laser	329
slept	329
tied	328
jaw	328
scattered	328
saved	328
martin	328
ought	328
cousin	328
meal	327
alternate	327
actual	326
native	326
clock	326
frozen	326
foreign	326
esther	326
punch	325
drunk	325
upper	325
weekend	324
upward	324
lip	324
beast	324
awake	324
aunt	324
lean	323
safety	323
entrance	323
england	323
oil	322
suggested	322
western	322
measure	322
inn	322
ruth	322
swallowed	321
potential	321
receive	321
operation	321
coast	321
produced	321
imagination	321
stack	321
-ition	320
worn	320
eager	320
plants	320
wiped	320
core	320
sara	320
union	320
crystal	319
becoming	319
successful	319
honest	319
proved	319
gentle	319
dany	319
pen	318
beg	318
non-	318
del	318
grandmother	318
tear	317
advertising	317
random	317
swing	317
cart	317
ian	317
gabriel	317
ticket	316
concerned	316
mental	316
victim	316
muscles	316
quinn	316
bunch	315
yelled	315
task	315
folks	315
stock	315
turtle	315
porch	315
metta	315
funds	314
hip	314
entry	313
television	313
crawl	313
height	313
landscape	313
prime	313
chicken	313
burn	313
student	312
seed	312
thump	312
expert	312
screaming	312
ma	312
min	312
los	311
fruit	311
bother	311
consciousness	311
tunnel	311
thrust	311
detective	311
kathryn	310
guest	310
tax	310
emotional	310
suffer	310
pulse	310
pit	310
lamp	309
photograph	309
skull	309
spin	309
rail	309
leaning	309
network	308
guide	308
snap	308
edition	308
riding	308
pet	307
bubble	307
host	307
grasp	307
angle	307
cam	307
-edly	307
shout	306
pace	306
asteroid	306
painted	306
cliff	306
lawyer	306
anton	306
rusch	305
simon	305
zone	305
tossed	305
require	305
produce	305
opportunity	305
wing	305
hurried	305
ward	305
disease	305
practice	304
hurry	304
health	304
cargo	304
pin	304
laughter	303
required	303
ridge	303
massive	303
jar	303
role	303
rear	303
roger	303
success	302
pole	302
feeling	302
shade	302
arrest	302
civil	301
flew	301
repeat	300
rag	300
abandoned	300
border	300
shield	300
restaurant	299
saving	299
branches	299
ignored	299
protest	299
poetry	299
sphere	299
passage	299
twin	298
bone	298
plug	298
minor	298
stiff	298
fail	298
mortal	298
additional	297
frank	297
stamped	297
era	297
huh	297
creation	296
farther	296
released	296
develop	295
cloak	295
freedom	294
rolling	294
armor	294
spider	294
canada	293
patrick	293
harm	293
emerged	293
tanner	293
